고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋
K174030,남,23,11/01/96,57.866667,0,선불,CAT 200,이탈,S50
K174040,남,20,27/11/96,47.166667,0,선불,CAT 200,이탈,S50
K174050,여,21,07/03/99,19.5,0,선불,CAT 200,이탈,ASAD90
K174060,여,20,16/03/97,43.533333,1,선불,CAT 200,이탈,ASAD90
K174070,남,15,10/07/98,27.5,1,선불,CAT 200,유지,ASAD170
K174080,남,21,17/09/99,13.033333,0,선불,CAT 200,이탈,S50
K174090,여,19,13/02/97,44.566667,0,선불,CAT 200,이탈,ASAD90
K174100,여,15,26/12/99,9.7,10,선불,CAT 200,이탈,ASAD90
K174110,여,20,22/09/96,49.366667,2,선불,CAT 200,이탈,S50
K174120,여,15,23/01/97,45.266667,0,선불,CAT 200,이탈,S50
K174130,여,23,05/01/96,58.066667,1,선불,CAT 200,이탈,ASAD90
K174140,남,25,07/03/98,31.666667,2,선불,CAT 200,이탈,ASAD90
K174150,남,24,25/09/99,12.766667,0,선불,CAT 200,이탈,ASAD90
K174160,남,19,13/04/99,18.266667,9,선불,CAT 200,유지,ASAD90
K174170,여,20,09/04/99,18.4,4,선불,CAT 200,이탈,ASAD90
K174180,남,12,09/01/98,33.566667,8,선불,CAT 200,이탈,S50
K174190,남,19,07/08/97,38.733333,2,선불,CAT 200,이탈,ASAD90
K174200,남,24,01/12/98,22.7,1,선불,CAT 200,이탈,S50
K174210,여,21,07/07/99,15.433333,2,선불,CAT 200,유지,ASAD170
K174220,남,20,27/05/99,16.8,2,선불,CAT 200,이탈,ASAD90
K174230,여,23,04/04/98,30.733333,1,선불,CAT 200,유지,ASAD170
K174240,남,24,07/12/96,46.833333,2,선불,CAT 200,유지,ASAD90
K174250,남,18,10/01/98,33.533333,6,선불,CAT 200,이탈,ASAD90
K174260,여,21,05/08/98,26.633333,5,선불,CAT 200,이탈,ASAD90
K174270,여,25,25/10/98,23.933333,9,선불,CAT 200,유지,ASAD170
K174280,여,23,03/12/98,22.633333,2,선불,CAT 200,이탈,S50
K174290,여,17,07/11/97,35.666667,1,선불,CAT 200,이탈,S50
K174300,여,22,07/01/96,58,0,선불,CAT 200,이탈,ASAD90
K174310,여,14,19/01/98,33.233333,1,선불,CAT 200,이탈,ASAD90
K174320,여,22,07/11/98,23.5,1,선불,CAT 200,유지,ASAD170
K174330,여,12,22/01/96,57.5,0,선불,CAT 200,유지,ASAD170
K174340,남,19,22/12/98,22,0,선불,CAT 200,이탈,ASAD90
K174350,여,22,20/06/96,52.5,5,선불,CAT 200,이탈,ASAD90
K174360,남,23,14/02/96,56.733333,0,선불,CAT 200,이탈,ASAD90
K174370,남,23,07/06/96,52.933333,1,선불,CAT 200,이탈,ASAD90
K174380,여,23,15/10/99,12.1,5,선불,CAT 200,유지,ASAD170
K174390,여,22,28/05/98,28.933333,2,선불,CAT 200,유지,ASAD170
K174400,남,22,11/04/97,42.666667,4,선불,CAT 200,이탈,ASAD170
K174410,여,25,17/11/99,11,5,선불,CAT 200,유지,ASAD90
K174420,남,25,21/04/97,42.333333,1,선불,CAT 200,이탈,ASAD90
K174430,남,24,20/12/99,9.9,0,선불,CAT 200,이탈,S50
K174440,여,21,12/01/98,33.466667,2,선불,CAT 200,이탈,ASAD90
K174450,남,24,14/01/99,21.233333,2,선불,CAT 200,이탈,ASAD90
K174460,남,25,19/09/99,12.966667,0,선불,CAT 200,이탈,ASAD90
K174470,여,14,07/04/98,30.633333,4,선불,CAT 200,이탈,ASAD90
K174480,여,24,09/11/99,11.266667,0,선불,CAT 200,유지,ASAD170
K174490,남,17,16/02/98,32.3,10,선불,CAT 200,이탈,ASAD90
K174500,여,22,02/03/99,19.666667,6,선불,CAT 200,이탈,ASAD90
K174510,남,21,21/11/99,10.866667,5,선불,CAT 200,이탈,S50
K174520,남,23,19/03/96,55.6,0,선불,CAT 200,이탈,ASAD90
K174530,남,23,01/09/97,37.9,0,선불,CAT 200,이탈,ASAD90
K174540,남,16,11/06/98,28.466667,2,선불,CAT 200,이탈,S50
K174550,남,24,14/10/96,48.633333,5,선불,CAT 200,이탈,ASAD90
K174560,여,14,21/05/97,41.333333,0,선불,CAT 200,유지,ASAD170
K174570,남,15,26/02/99,19.8,8,선불,CAT 200,이탈,ASAD90
K174580,여,22,02/04/98,30.8,5,선불,CAT 200,이탈,S50
K174590,여,19,20/03/98,31.233333,4,선불,CAT 200,이탈,ASAD90
K174600,남,16,04/04/97,42.9,8,선불,CAT 200,이탈,ASAD90
K174610,여,24,08/04/96,54.933333,0,선불,CAT 200,유지,ASAD170
K174620,여,19,02/05/96,54.133333,0,선불,CAT 200,이탈,S50
K174630,여,19,05/02/97,44.833333,2,선불,CAT 200,이탈,ASAD90
K174640,여,21,12/04/97,42.633333,9,선불,CAT 200,이탈,ASAD90
K174650,남,23,21/11/96,47.366667,0,선불,CAT 200,이탈,S50
K174660,남,19,06/10/97,36.733333,1,선불,CAT 200,이탈,S50
K174670,남,15,05/04/99,18.533333,0,선불,CAT 200,이탈,ASAD90
K174680,남,15,12/01/98,33.466667,6,선불,CAT 200,이탈,S50
K174690,남,24,18/07/97,39.4,10,선불,CAT 200,이탈,ASAD90
K174700,남,25,09/02/97,44.7,10,선불,CAT 200,유지,ASAD170
K174710,남,20,23/06/99,15.9,1,선불,CAT 200,유지,ASAD170
K174720,여,21,23/02/96,56.433333,2,선불,CAT 200,이탈,ASAD90
K174730,남,18,16/04/98,30.333333,2,선불,CAT 200,이탈,ASAD90
K174740,여,17,16/09/98,25.233333,0,선불,CAT 200,이탈,ASAD90
K174750,여,22,04/06/96,53.033333,0,선불,CAT 200,이탈,S50
K174760,남,18,23/12/99,9.8,8,선불,CAT 200,이탈,S50
K174770,여,12,13/11/98,23.3,11,선불,CAT 200,이탈,ASAD90
K174780,여,21,17/03/96,55.666667,10,선불,CAT 200,유지,ASAD170
K174790,남,20,01/09/97,37.9,2,선불,CAT 200,이탈,ASAD90
K174800,남,18,27/11/98,22.833333,2,선불,CAT 200,유지,ASAD170
K174810,남,18,22/03/99,19,2,선불,CAT 200,이탈,ASAD90
K174820,여,18,25/11/97,35.066667,6,선불,CAT 200,유지,S50
K174830,여,20,23/08/96,50.366667,0,선불,CAT 200,유지,ASAD170
K174840,남,24,06/07/96,51.966667,0,선불,CAT 200,이탈,ASAD90
K174850,남,18,13/03/97,43.633333,1,선불,CAT 200,이탈,ASAD90
K174860,여,13,23/12/96,46.3,2,선불,CAT 200,유지,ASAD170
K174870,남,23,18/12/98,22.133333,2,선불,CAT 200,유지,ASAD170
K174880,남,12,08/01/99,21.433333,0,선불,CAT 200,이탈,ASAD90
K174890,여,16,07/11/99,11.333333,0,선불,CAT 200,유지,ASAD170
K174900,여,17,25/10/97,36.1,2,선불,CAT 200,유지,S50
K174910,남,17,12/01/98,33.466667,0,선불,CAT 200,유지,ASAD170
K174920,여,14,20/10/99,11.933333,1,선불,CAT 200,이탈,ASAD90
K174930,남,22,22/10/98,24.033333,2,선불,CAT 200,이탈,S50
K174940,남,22,02/08/96,51.066667,1,선불,CAT 200,유지,ASAD170
K174950,남,20,28/06/97,40.066667,5,선불,CAT 200,이탈,ASAD90
K174960,여,24,07/02/97,44.766667,10,선불,CAT 200,이탈,ASAD90
K174970,남,21,11/04/97,42.666667,2,선불,CAT 200,유지,ASAD170
K174980,여,25,12/09/98,25.366667,0,선불,CAT 200,이탈,S50
K174990,남,22,23/05/97,41.266667,2,선불,CAT 200,유지,ASAD90
K175000,여,13,22/03/97,43.333333,2,선불,CAT 200,이탈,ASAD90
K175010,남,21,06/12/98,22.533333,1,선불,CAT 200,이탈,ASAD170
K175020,여,14,22/03/97,43.333333,2,선불,CAT 200,이탈,ASAD90
K175030,여,16,20/04/98,30.2,0,선불,CAT 200,이탈,S50
K175040,남,12,26/12/99,9.7,1,선불,CAT 200,이탈,ASAD90
K175050,여,16,08/06/99,16.4,0,선불,CAT 200,유지,ASAD170
K175060,남,25,25/12/99,9.733333,1,선불,CAT 200,유지,ASAD170
K175070,남,18,24/07/99,14.866667,1,선불,CAT 200,이탈,ASAD90
K175080,남,23,31/08/99,13.6,2,선불,CAT 200,유지,ASAD170
K175090,남,20,26/04/99,17.833333,1,선불,CAT 200,이탈,S50
K175100,남,14,13/01/99,21.266667,1,선불,CAT 200,이탈,ASAD90
K175110,여,14,19/12/99,9.933333,1,선불,CAT 200,유지,ASAD170
K175120,남,20,02/01/98,33.8,1,선불,CAT 200,이탈,ASAD90
K175130,여,21,25/08/97,38.133333,11,선불,CAT 200,유지,ASAD170
K175140,남,14,19/03/99,19.1,11,선불,CAT 200,이탈,S50
K175150,남,17,09/11/99,11.266667,11,선불,CAT 200,이탈,ASAD90
K175160,남,23,14/09/98,25.3,1,선불,CAT 200,이탈,ASAD90
K175170,여,23,18/06/96,52.566667,5,선불,CAT 200,이탈,ASAD90
K175180,여,12,28/03/96,55.3,1,선불,CAT 200,이탈,S50
K175190,남,19,10/10/98,24.433333,0,선불,CAT 200,이탈,S50
K175200,남,14,31/03/98,30.866667,1,선불,CAT 200,이탈,S50
K175210,남,23,10/02/99,20.333333,0,선불,CAT 200,이탈,S50
K175220,여,13,14/01/97,45.566667,0,선불,CAT 200,이탈,ASAD90
K175230,여,12,22/06/98,28.1,2,선불,CAT 200,이탈,ASAD90
K175240,남,19,13/10/99,12.166667,2,선불,CAT 200,이탈,ASAD90
K175250,남,19,06/01/97,45.833333,0,선불,CAT 200,이탈,S50
K175260,여,23,21/05/98,29.166667,1,선불,CAT 200,이탈,ASAD90
K175270,남,14,08/03/99,19.466667,0,선불,CAT 200,이탈,ASAD90
K175280,여,18,23/03/99,18.966667,5,선불,CAT 200,유지,ASAD170
K175290,여,24,06/03/96,56.033333,2,선불,CAT 200,유지,ASAD170
K175300,남,17,05/02/97,44.833333,2,선불,CAT 200,이탈,ASAD90
K175310,남,21,19/10/99,11.966667,2,선불,CAT 200,이탈,ASAD90
K175320,여,19,14/02/98,32.366667,0,선불,CAT 200,이탈,ASAD90
K175330,여,15,19/10/97,36.3,2,선불,CAT 200,이탈,ASAD90
K175340,여,12,13/11/98,23.3,1,선불,CAT 200,이탈,ASAD90
K175350,여,13,06/06/99,16.466667,6,선불,CAT 200,이탈,ASAD90
K175360,여,23,12/09/99,13.2,0,선불,CAT 200,이탈,ASAD90
K175370,남,22,25/11/96,47.233333,7,선불,CAT 200,유지,ASAD170
K175380,여,16,23/03/97,43.3,2,선불,CAT 200,이탈,S50
K175390,여,23,10/10/97,36.6,2,선불,CAT 200,이탈,ASAD90
K175400,여,24,11/05/97,41.666667,2,선불,CAT 200,유지,ASAD90
K175410,남,15,18/04/97,42.433333,8,선불,CAT 200,이탈,S50
K175420,여,12,28/01/96,57.3,1,선불,CAT 200,이탈,S50
K175430,남,17,13/08/97,38.533333,0,선불,CAT 200,유지,ASAD170
K175440,남,19,15/07/98,27.333333,1,선불,CAT 200,이탈,ASAD90
K175450,남,16,19/05/97,41.4,1,선불,CAT 200,이탈,ASAD90
K175460,남,21,25/09/98,24.933333,2,선불,CAT 200,이탈,ASAD170
K175470,여,23,05/09/97,37.766667,11,선불,CAT 200,이탈,S50
K175480,남,25,06/12/98,22.533333,5,선불,CAT 200,이탈,ASAD90
K175490,여,20,31/07/99,14.633333,9,선불,CAT 200,이탈,ASAD90
K175500,남,23,19/07/99,15.033333,1,선불,CAT 200,이탈,ASAD90
K175510,여,22,19/03/99,19.1,1,선불,CAT 200,이탈,ASAD90
K175520,여,23,06/10/96,48.9,2,선불,CAT 200,이탈,ASAD90
K175530,여,21,05/03/97,43.9,9,선불,CAT 200,이탈,ASAD90
K175540,남,24,22/05/97,41.3,2,선불,CAT 200,이탈,S50
K175550,남,12,21/11/99,10.866667,2,선불,CAT 200,이탈,ASAD90
K175560,여,13,04/09/99,13.466667,2,선불,CAT 200,이탈,S50
K175570,남,23,06/06/97,40.8,1,선불,CAT 200,유지,ASAD90
K175580,여,20,06/01/98,33.666667,0,선불,CAT 200,이탈,ASAD90
K175590,여,13,06/03/96,56.033333,1,선불,CAT 200,이탈,ASAD90
K175600,여,21,27/11/98,22.833333,1,선불,CAT 200,이탈,S50
K175610,여,20,14/08/96,50.666667,0,선불,CAT 200,이탈,ASAD90
K175620,여,25,06/01/96,58.033333,1,선불,CAT 200,이탈,S50
K175630,여,22,28/04/96,54.266667,4,선불,CAT 200,유지,ASAD90
K175640,남,17,17/04/99,18.133333,0,선불,CAT 200,이탈,S50
K175650,남,16,07/04/97,42.8,1,선불,CAT 200,이탈,ASAD90
K175660,여,23,12/03/99,19.333333,6,선불,CAT 200,이탈,ASAD90
K175670,남,19,25/01/99,20.866667,2,선불,CAT 200,유지,ASAD170
K175680,여,22,13/06/99,16.233333,1,선불,CAT 200,이탈,ASAD90
K175690,남,18,26/08/99,13.766667,7,선불,CAT 200,이탈,ASAD90
K175700,여,21,16/07/97,39.466667,2,선불,CAT 200,이탈,ASAD90
K175710,남,17,12/09/99,13.2,0,선불,CAT 200,유지,ASAD170
K175720,여,18,20/02/96,56.533333,2,선불,CAT 200,유지,ASAD170
K175730,남,16,01/01/96,58.2,2,선불,CAT 200,이탈,ASAD90
K175740,남,19,08/07/99,15.4,0,선불,CAT 200,이탈,ASAD90
K175750,남,14,07/04/97,42.8,5,선불,CAT 200,유지,ASAD170
K175760,남,21,05/02/96,57.033333,0,선불,CAT 200,유지,ASAD170
K175770,남,22,31/08/99,13.6,1,선불,CAT 200,이탈,ASAD90
K175780,여,24,15/11/99,11.066667,7,선불,CAT 200,이탈,S50
K175790,남,16,22/04/99,17.966667,9,선불,CAT 200,이탈,ASAD90
K175800,남,14,17/08/98,26.233333,9,선불,CAT 200,이탈,ASAD90
K175810,여,18,22/08/96,50.4,1,선불,CAT 200,이탈,S50
K175820,남,25,02/02/97,44.933333,1,선불,CAT 200,이탈,ASAD90
K175830,남,16,02/09/98,25.7,1,선불,CAT 200,이탈,ASAD90
K175840,여,21,20/04/99,18.033333,1,선불,CAT 200,유지,ASAD170
K175850,남,18,31/01/97,45,0,선불,CAT 200,이탈,ASAD90
K175860,남,16,20/08/98,26.133333,2,선불,CAT 200,이탈,S50
K175870,남,24,03/05/97,41.933333,0,선불,CAT 200,유지,ASAD170
K175880,여,23,13/09/98,25.333333,2,선불,CAT 200,이탈,ASAD90
K175890,여,18,02/12/97,34.833333,2,선불,CAT 200,유지,ASAD170
K175900,여,22,23/09/99,12.833333,1,선불,CAT 200,이탈,ASAD90
K175910,여,15,06/11/98,23.533333,1,선불,CAT 200,이탈,S50
K175920,남,15,01/05/97,42,1,선불,CAT 200,이탈,ASAD90
K175930,여,13,08/08/97,38.7,1,선불,CAT 200,유지,ASAD170
K175940,여,22,16/01/96,57.7,1,선불,CAT 200,이탈,S50
K175950,남,13,09/04/99,18.4,9,선불,CAT 200,이탈,ASAD90
K175960,여,25,02/03/98,31.833333,8,선불,CAT 200,이탈,S50
K175970,여,14,02/05/99,17.633333,0,선불,CAT 200,이탈,S50
K175980,여,15,01/03/99,19.7,2,선불,CAT 200,이탈,ASAD90
K175990,여,15,20/03/97,43.4,2,선불,CAT 200,이탈,ASAD90
K176000,여,18,16/01/98,33.333333,2,선불,CAT 200,이탈,S50
K176010,남,23,12/11/99,11.166667,1,선불,CAT 200,유지,ASAD170
K176020,여,19,31/03/99,18.7,2,선불,CAT 200,이탈,ASAD90
K176030,남,24,06/01/96,58.033333,10,선불,CAT 200,이탈,ASAD90
K176040,남,24,23/11/97,35.133333,0,선불,CAT 200,이탈,ASAD90
K176050,남,13,19/09/98,25.133333,11,선불,CAT 200,이탈,ASAD90
K176060,여,22,22/11/96,47.333333,1,선불,CAT 200,이탈,S50
K176070,남,16,09/09/99,13.3,1,선불,CAT 200,이탈,ASAD90
K176080,남,24,10/05/99,17.366667,1,선불,CAT 200,유지,ASAD170
K176090,여,12,02/06/97,40.933333,9,선불,CAT 200,유지,ASAD170
K176100,남,13,12/08/97,38.566667,0,선불,CAT 200,유지,S50
K176110,여,18,08/10/97,36.666667,2,선불,CAT 200,이탈,ASAD90
K176120,남,23,07/06/96,52.933333,1,선불,CAT 200,유지,ASAD90
K176130,남,21,12/11/98,23.333333,8,선불,CAT 200,유지,ASAD170
K176140,남,23,28/11/97,34.966667,0,선불,CAT 200,이탈,S50
K176150,여,16,20/06/98,28.166667,8,선불,CAT 200,이탈,ASAD90
K176160,남,22,03/10/98,24.666667,8,선불,CAT 200,유지,ASAD170
K176170,남,18,04/04/96,55.066667,3,선불,CAT 200,이탈,ASAD90
K176180,여,15,01/10/98,24.733333,1,선불,CAT 200,유지,ASAD170
K176190,여,24,23/11/96,47.3,2,선불,CAT 200,유지,ASAD170
K176200,남,24,24/05/97,41.233333,1,선불,CAT 200,이탈,ASAD90
K176210,남,24,18/07/98,27.233333,5,선불,CAT 200,유지,ASAD170
K176220,여,17,02/05/99,17.633333,8,선불,CAT 200,이탈,ASAD90
K176230,여,16,02/06/97,40.933333,7,선불,CAT 200,이탈,ASAD90
K176240,여,13,14/08/96,50.666667,2,선불,CAT 200,이탈,ASAD90
K176250,여,17,08/05/99,17.433333,1,선불,CAT 200,이탈,S50
K176260,남,14,25/05/97,41.2,0,선불,CAT 200,유지,ASAD170
K176270,여,25,09/05/97,41.733333,1,선불,CAT 200,유지,ASAD170
K176280,여,24,01/02/96,57.166667,1,선불,CAT 200,유지,S50
K176290,여,13,28/04/99,17.766667,4,선불,CAT 200,이탈,ASAD90
K176300,여,22,12/09/99,13.2,1,선불,CAT 200,이탈,S50
K176310,여,17,18/08/97,38.366667,0,선불,CAT 200,이탈,ASAD90
K176320,여,23,18/12/98,22.133333,11,선불,CAT 200,이탈,ASAD90
K176330,여,21,21/11/98,23.033333,2,선불,CAT 200,유지,ASAD170
K176340,남,20,08/05/99,17.433333,1,선불,CAT 200,이탈,ASAD90
K176350,남,24,02/01/99,21.633333,0,선불,CAT 200,유지,ASAD170
K176360,여,21,21/04/97,42.333333,1,선불,CAT 200,이탈,ASAD90
K176370,남,14,27/09/99,12.7,2,선불,CAT 200,유지,ASAD170
K176380,여,17,21/11/98,23.033333,0,선불,CAT 200,이탈,ASAD90
K176390,남,21,06/06/97,40.8,0,선불,CAT 200,유지,ASAD170
K176400,여,18,03/06/99,16.566667,2,선불,CAT 200,이탈,ASAD90
K176410,여,16,03/11/96,47.966667,0,선불,CAT 200,이탈,ASAD90
K176420,남,25,14/06/98,28.366667,1,선불,CAT 200,이탈,ASAD90
K176430,남,14,11/03/97,43.7,2,선불,CAT 200,이탈,ASAD90
K176440,여,22,16/01/96,57.7,0,선불,CAT 200,이탈,S50
K176450,남,18,28/05/98,28.933333,1,선불,CAT 200,이탈,ASAD170
K176460,여,12,04/06/97,40.866667,1,선불,CAT 200,이탈,S50
K176470,여,21,10/03/96,55.9,10,선불,CAT 200,이탈,S50
K176480,남,16,13/11/99,11.133333,0,선불,CAT 200,이탈,ASAD90
K176490,남,13,27/05/99,16.8,1,선불,CAT 200,이탈,ASAD90
K176500,남,23,01/12/96,47.033333,2,선불,CAT 200,이탈,S50
K176510,남,17,19/01/97,45.4,2,선불,CAT 200,이탈,ASAD90
K176520,남,18,07/07/98,27.6,0,선불,CAT 200,이탈,ASAD90
K176530,남,17,04/12/99,10.433333,0,선불,CAT 200,이탈,ASAD90
K176540,여,16,27/03/97,43.166667,2,선불,CAT 200,유지,ASAD170
K176550,남,25,08/10/96,48.833333,8,선불,CAT 200,이탈,ASAD90
K176560,남,18,10/12/97,34.566667,1,선불,CAT 200,이탈,ASAD90
K176570,여,16,15/05/96,53.7,0,선불,CAT 200,이탈,ASAD90
K176580,여,19,02/05/97,41.966667,2,선불,CAT 200,이탈,ASAD90
K176590,남,25,23/09/97,37.166667,1,선불,CAT 200,유지,S50
K176600,여,20,21/10/97,36.233333,0,선불,CAT 200,이탈,S50
K176610,여,23,27/04/97,42.133333,0,선불,CAT 200,이탈,S50
K176620,남,15,07/07/97,39.766667,1,선불,CAT 200,유지,ASAD170
K176630,여,13,14/10/97,36.466667,9,선불,CAT 200,이탈,ASAD90
K176640,여,14,06/07/98,27.633333,10,선불,CAT 200,이탈,ASAD90
K176650,여,22,25/11/97,35.066667,10,선불,CAT 200,이탈,ASAD90
K176660,남,22,21/08/98,26.1,1,선불,CAT 200,유지,ASAD170
K176670,남,19,04/11/96,47.933333,2,선불,CAT 200,유지,ASAD170
K176680,여,20,09/01/97,45.733333,1,선불,CAT 200,이탈,ASAD90
K176690,여,16,08/03/99,19.466667,2,선불,CAT 200,유지,S50
K176700,남,24,03/12/98,22.633333,6,선불,CAT 200,유지,ASAD170
K176710,여,22,19/06/96,52.533333,0,선불,CAT 200,이탈,S50
K176720,남,14,17/04/99,18.133333,2,선불,CAT 200,유지,ASAD170
K176730,남,18,21/04/97,42.333333,2,선불,CAT 200,이탈,ASAD170
K176740,여,23,24/07/97,39.2,3,선불,CAT 200,유지,ASAD170
K176750,여,20,08/11/99,11.3,2,선불,CAT 200,이탈,ASAD90
K176760,여,20,10/02/99,20.333333,0,선불,CAT 200,유지,ASAD170
K176770,여,14,23/11/99,10.8,0,선불,CAT 200,이탈,ASAD90
K176780,여,18,15/07/99,15.166667,5,선불,CAT 200,이탈,ASAD90
K176790,여,16,01/05/97,42,0,선불,CAT 200,이탈,ASAD90
K176800,남,19,21/01/97,45.333333,2,선불,CAT 200,이탈,ASAD90
K176810,여,22,01/02/96,57.166667,2,선불,CAT 200,이탈,S50
K176820,여,22,19/11/96,47.433333,2,선불,CAT 200,이탈,ASAD90
K176830,남,15,25/11/96,47.233333,0,선불,CAT 200,이탈,S50
K176840,남,21,22/07/99,14.933333,2,선불,CAT 200,유지,ASAD170
K176850,여,21,13/10/96,48.666667,0,선불,CAT 200,유지,ASAD170
K176860,남,22,26/12/98,21.866667,1,선불,CAT 200,유지,ASAD170
K176870,남,22,12/08/97,38.566667,2,선불,CAT 200,이탈,ASAD90
K176880,여,12,12/02/98,32.433333,7,선불,CAT 200,이탈,ASAD90
K176890,남,15,11/04/96,54.833333,5,선불,CAT 200,이탈,S50
K176900,남,14,09/12/96,46.766667,0,선불,CAT 200,이탈,ASAD90
K176910,여,25,18/07/99,15.066667,0,선불,CAT 200,이탈,ASAD90
K176920,남,13,11/10/97,36.566667,1,선불,CAT 200,이탈,S50
K176930,남,22,14/07/97,39.533333,0,선불,CAT 200,이탈,S50
K176940,남,15,20/10/99,11.933333,0,선불,CAT 200,유지,ASAD170
K176950,여,24,07/05/98,29.633333,2,선불,CAT 200,유지,ASAD90
K176960,여,17,26/06/96,52.3,1,선불,CAT 200,이탈,ASAD90
K176970,여,18,15/08/98,26.3,2,선불,CAT 200,이탈,ASAD90
K176980,여,16,26/09/98,24.9,2,선불,CAT 200,이탈,ASAD90
K176990,남,20,18/03/98,31.3,0,선불,CAT 200,이탈,S50
K177000,남,25,17/05/97,41.466667,9,선불,CAT 200,이탈,S50
K177010,남,16,27/08/97,38.066667,10,선불,CAT 200,이탈,ASAD90
K177020,여,18,07/05/98,29.633333,1,선불,CAT 200,이탈,ASAD90
K177030,여,21,18/08/98,26.2,2,선불,CAT 200,이탈,ASAD90
K177040,여,12,10/04/97,42.7,0,선불,CAT 200,이탈,ASAD90
K177050,남,18,17/03/97,43.5,2,선불,CAT 200,유지,ASAD170
K177060,남,12,10/08/97,38.633333,0,선불,CAT 200,유지,ASAD170
K177070,여,16,09/06/97,40.7,3,선불,CAT 200,유지,ASAD170
K177080,남,14,18/07/99,15.066667,1,선불,CAT 200,유지,ASAD170
K177090,여,20,23/12/96,46.3,1,선불,CAT 200,이탈,S50
K177100,남,25,20/12/98,22.066667,9,선불,CAT 200,유지,ASAD170
K177110,여,14,27/05/98,28.966667,8,선불,CAT 200,유지,ASAD170
K177120,여,21,03/01/97,45.933333,9,선불,CAT 200,유지,ASAD170
K177130,여,15,27/03/96,55.333333,0,선불,CAT 200,이탈,ASAD90
K177140,여,17,06/01/98,33.666667,0,선불,CAT 200,유지,ASAD170
K177150,남,15,26/05/98,29,2,선불,CAT 200,이탈,S50
K177160,여,20,22/05/98,29.133333,2,선불,CAT 200,이탈,ASAD90
K177170,남,19,08/09/97,37.666667,2,선불,CAT 200,이탈,S50
K177180,여,20,23/11/97,35.133333,1,선불,CAT 200,이탈,S50
K177190,남,12,10/03/99,19.4,0,선불,CAT 200,이탈,S50
K177200,여,13,02/07/97,39.933333,0,선불,CAT 200,이탈,ASAD90
K177210,여,21,20/03/99,19.066667,10,선불,CAT 200,유지,ASAD90
K177220,남,12,08/07/96,51.9,1,선불,CAT 200,이탈,S50
K177230,여,19,24/06/96,52.366667,11,선불,CAT 200,유지,ASAD170
K177240,남,22,11/06/97,40.633333,2,선불,CAT 200,이탈,ASAD90
K177250,남,16,06/01/98,33.666667,3,선불,CAT 200,이탈,ASAD90
K177260,남,20,15/06/96,52.666667,1,선불,CAT 200,이탈,ASAD90
K177270,여,23,24/01/96,57.433333,2,선불,CAT 200,유지,ASAD170
K177280,여,16,25/08/98,25.966667,0,선불,CAT 200,이탈,ASAD90
K177290,여,14,13/07/98,27.4,6,선불,CAT 200,이탈,ASAD90
K177300,여,19,15/06/98,28.333333,3,선불,CAT 200,이탈,ASAD90
K177310,남,21,11/08/97,38.6,1,선불,CAT 200,이탈,ASAD90
K177320,남,21,21/05/97,41.333333,1,선불,CAT 200,이탈,ASAD90
K177330,여,22,16/11/97,35.366667,1,선불,CAT 200,유지,ASAD170
K177340,여,19,24/02/98,32.033333,1,선불,CAT 200,이탈,ASAD90
K177350,여,15,20/05/98,29.2,0,선불,CAT 200,이탈,ASAD90
K177360,여,21,26/05/98,29,1,선불,CAT 200,이탈,S50
K177370,여,17,04/03/97,43.933333,1,선불,CAT 200,이탈,S50
K177380,남,13,12/10/98,24.366667,1,선불,CAT 200,이탈,ASAD90
K177390,여,14,01/06/98,28.8,2,선불,CAT 200,이탈,S50
K177400,여,12,06/11/99,11.366667,8,선불,CAT 200,이탈,S50
K177410,남,17,13/06/97,40.566667,1,선불,CAT 200,이탈,ASAD90
K177420,남,19,21/07/97,39.3,2,선불,CAT 200,이탈,ASAD90
K177430,여,21,19/06/99,16.033333,0,선불,CAT 200,유지,ASAD170
K177440,남,14,10/04/97,42.7,2,선불,CAT 200,이탈,ASAD90
K177450,여,25,06/05/99,17.5,2,선불,CAT 200,이탈,ASAD90
K177460,여,24,28/09/98,24.833333,1,선불,CAT 200,이탈,ASAD90
K177470,남,23,08/03/98,31.633333,0,선불,CAT 200,이탈,S50
K177480,여,14,02/08/96,51.066667,1,선불,CAT 200,유지,ASAD170
K177490,여,15,16/09/99,13.066667,1,선불,CAT 200,이탈,ASAD90
K177500,남,24,19/03/97,43.433333,3,선불,CAT 200,이탈,S50
K177510,여,19,15/12/99,10.066667,10,선불,CAT 200,이탈,ASAD90
K177520,여,14,15/08/99,14.133333,1,선불,CAT 200,이탈,S50
K177530,남,25,19/03/96,55.6,0,선불,CAT 200,유지,ASAD170
K177540,남,16,15/12/99,10.066667,6,선불,CAT 200,이탈,S50
K177550,여,22,15/06/99,16.166667,3,선불,CAT 200,이탈,S50
K177560,남,17,04/01/99,21.566667,6,선불,CAT 200,이탈,ASAD90
K177570,여,15,11/06/96,52.8,9,선불,CAT 200,유지,ASAD170
K177580,여,23,15/12/96,46.566667,2,선불,CAT 200,유지,ASAD170
K177590,여,14,03/04/96,55.1,0,선불,CAT 200,이탈,ASAD90
K177600,여,15,13/03/97,43.633333,5,선불,CAT 200,이탈,ASAD90
K177610,남,23,21/05/97,41.333333,11,선불,CAT 200,이탈,ASAD90
K177620,여,16,10/06/98,28.5,2,선불,CAT 200,이탈,S50
